DrugName,ChemicalComposition,Description
Flortaucipir F-18, C16H10FN3,A small lipophilic tracer containing [18F]fluoride capable of crossing the blood-brain barrier and binding to aggregated tau protein; used in PET imaging for the diagnosis of Alzheimer's disease.
Flosequinan, C11H10FNO2S,"Flosequinan was approved in the USA and the UK for a year prior to being withdrawn from the market due to increased mortality in chronic heart failure patients, found in..."
Flotufolastat F-18, C63H99FN12O25Si,A radiopharmaceutical diagnostic agent used in PET imaging to visualize PSMA-positive lesions in men with prostate cancer with suspected metastasis or recurrence.
Floxuridine, C9H11FN2O5,An antimetabolite used as palliative management for liver metastases of gastrointestinal malignancy.
Fluciclovine (18F), C5H8FNO2,"A radiolabelled L-leucine derivative used to image tumors, especially in the prostate."
Fluclorolone acetonide, C24H29Cl2FO5,Fluclorolone acetonide (INN) or flucloronide (USAN) is a topical corticosteroid. It is marketed under the brand names Cutanit and Topicon.
Flucloxacillin, C19H17ClFN3O5S,"A narrow spectrum penicillin antibiotic that exerts specific activity against Gram positive organisms in skin and soft tissue infections, except those caused by methicillin resistant staphylococcus aureus (MRSA)."
Fluconazole, C13H12F2N6O,A triazole antifungal used to treat various fungal infections including candidiasis.
Flucytosine, C4H4FN3O,An antifungal indicated only to treat severe infections throughout the body caused by susceptible strains of Candida or Cryptococcus.
Fludarabine, C10H12FN5O4,A purine analog antimetabolite that inhibits DNA synthesis.
Fludeoxyglucose (18F), C6H11FO5,"A radiopharmaceutical agent used for positron emission tomography (PET) imaging in oncology, cardiology, and neurology."
Fludrocortisone, C21H29FO5,A mineralocorticoid used to treat adrenocortical insufficiency and salt-losing adrenogenital syndrome.
Flufenamic acid, C14H10F3NO2,An analgesic drug used to relieve pain associated with rheumatoid diseases.
Fluindione, C15H9FO2,"Fluindione is under investigation for the treatment of Venous Thrombosis, Pulmonary Embolism, Permanent Atrial Fibrillation, and Anticoagulating Treatment on a Duration at Least 12-month-old Superior. Fluindione has been investigated for..."
Flumazenil, C15H14FN3O3,"A benzodiazepine antagonist that is used for the complete or partial reversal of the sedative effects caused by benzodiazepines in various clinical settings, such as induced general anesthesia for diagnostic and therapeutic procedures."
Flumethasone, C22H28F2O5,"A corticosteroid used to treat contact dermatitis, atopic dermatitis, eczema, psoriasis, diaper rash, and other skin conditions."
Flunarizine, C26H26F2N2,A selective calcium-entry blocker used as migraine prophylaxis in patients with severe and frequent episodes who have not responded adequately to more common treatments.
Flunisolide, C24H31FO6,An inhaled corticosteroid used as a prophylactic therapy in the maintenance treatment of asthma.
Flunitrazepam, C16H12FN3O3,A benzodiazepine used to manage anxiety disorders and insomnia.
Fluocinolone acetonide, C24H30F2O6,"A corticosteroid used to treat skin conditions, eczematous otitis externa, diabetic macular edema, and non-infectious uveitis of the posterior segment of the eye."
Fluocinonide, C26H32F2O7,A high potency corticosteroid commonly used topically for a number of inflammatory skin conditions.
Fluocortolone, C22H29FO4,A glucocorticoid used topically for localized skin reactions and also orally for systemic use.
Fluorescein, C20H12O5,A dye used in angiography or angioscopy of the iris and retina.
Fluoride ion, F,"Having a chemical formula of F−, fluoride ion is the simplest inorganic, monatomic anion of fluorine with basic properties. It is considered a trace element. Fluoride ions are found in..."
Fluoride ion F-18, F,A diagnostic radiopharmaceutical agent used as a bone imaging agent to delineate areas of altered osteogenesis.
Fluorodopa (18F), C9H10FNO4,Fluorodopa F 18 is indicated for use with positron emission tomography (PET) to visualize dopaminergic nerve terminals in the striatum for the evaluation of adult patients with suspected Parkinsonian syndromes...
Fluoroestradiol F-18, C18H23FO2,A radiolabeled analog of estradiol used as a contrast agent in the PET imaging of estrogen receptor-positive breast cancer lesions.
Fluorometholone, C22H29FO4,"An ophthalmic corticosteroid used for the relief of inflammation located in both the palpebral and bulbar conjunctiva, the cornea, and the anterior segment of the globe of the eye."
Gefapixant, C14H19N5O4S,A P2X3 receptor antagonist that reduces the cough reflex in patients with refractory or unexplained chronic cough.
Gefitinib, C22H24ClFN4O3,A tyrosine kinase inhibitor used as first-line therapy to treat non-small cell lung carcinoma (NSCLC) that meets certain genetic mutation criteria.
Gelatin,,"Gelatin is used for weight loss and for treating osteoarthritis, rheumatoid arthritis, and brittle bones (osteoporosis). Some people also use it for strengthening bones, joints, and fingernails. Gelatin is also..."
Gemcitabine, C9H11F2N3O4,"A nucleoside metabolic inhibitor used as adjunct therapy in the treatment of certain types of ovarian cancer, non-small cell lung carcinoma, metastatic breast cancer, and as a single agent for pancreatic cancer."
Gemeprost, C23H38O5,"A prostaglandin E1 analogue used for cervical dilation and, in combination with mifepristone, for pregnancy termination."
Gemfibrozil, C15H22O3,A lipid regulator that is used in the reduction of serum triglyceride levels in high-risk patients with hyperlipidemia.
Gemifloxacin, C18H20FN5O4,A quinolone antibacterial agent used for the treatment of acute bacterial exacerbation of chronic bronchitis and mild to moderate community-acquired pneumonia caused by susceptible bacteria.
Gentamicin, C60H123N15O21,An aminoglycoside used to treat a wide variety of aerobic infections in the body.
Gentian violet cation, C25H30N3,"An antiseptic violet dye used to prevent various infections, including fungal and bacterial infections."
Gepirone, C19H29N5O2,A serotonin receptor agonist used to treat major depressive disorder in adults
Geraniol, C10H18O,Geraniol is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
Gestonorone caproate, C26H38O4,
Gestrinone, C21H24O2,"Endometriosis with or without accompanying sterility. Treatment is limited to a single course of 6 months duration per lifetime [L1699, L1700]."
Gilteritinib, C29H44N8O3,An AXL receptor tyrosine kinase inhibitor used to treat relapsed or refractory acute myeloid leukemia.
Gimeracil, C5H4ClNO2,A DPD inhibitor used as an adjunct to antineoplastic therapy to increase the systemic concentrations and therapeutic effectiveness of other antineoplastic agents.
Givinostat, C24H27N3O4,A histone deacetylase inhibitor indicated for the treatment of Duchenne Muscular Dystrophy (DMD).
Glasdegib, C21H22N6O,A sonic hedgehog receptor inhibitor used to treat newly diagnosed acute myeloid leukemia in patients over 75 years who cannot receive intense chemotherapy.
Glecaprevir, C38H46F4N6O9S,A Hepatitis C NS3/4A protease inhibitor used to treat Hepatitis C.
Gliclazide, C15H21N3O3S,A sulfonylurea used to treat hyperglycemia in patients with type 2 diabetes mellitus.
Glimepiride, C24H34N4O5S,A sulfonylurea drug used to treat type 2 diabetes mellitus.
Glipizide, C21H27N5O4S,A sulfonylurea medication used in Type 2 Diabetes to sensitize pancreatic beta cells and stimulate insulin release.
Gliquidone, C27H33N3O6S,A sulfonylurea drug used in the management of diabetes mellitus type 2.
Gluconic Acid, C6H12O7,An electrolyte supplement used in total parenteral nutrition.
Gluconolactone, C6H10O6,A polyhydroxy acid used in the dissolution of calculi and used as an additive in various drug products to maintain consistency and other characteristics.
Glucosamine, C6H13NO5,A common ingredient in nutritional supplements used for the relief of joint pain.
Foscarbidopa, C10H15N2O7P,Foscarbidopa is under investigation in clinical trial NCT04379050 (Extension Study to Evaluate Safety and Tolerability of 24-hour Daily Exposure of Continuous Subcutaneous Infusion of ABBV-951 in Adult Participants With Parkinson's...
Foscarnet, CH3O5P,"An antiviral used to treat CMV, HIV, and HSV infections."
Fosdenopterin, C10H14N5O8P,An exogenous form of cyclic pyranopterin monophosphate (cPMP) used as a replacement substrate in patients with molybdenum cofactor deficiency (MoCD) type A.
Fosfomycin, C3H7O4P,A broad spectrum antibiotic used to treat uncomplicated urinary tract infections.
Fosinopril, C30H46NO7P,"An ACE inhibitor used to treat mild to moderate hypertension, congestive heart failure, and to slow the progression of renal disease in hypertensive diabetics."
Foslevodopa, C9H12NO7P,Foslevodopa is under investigation in clinical trial NCT04750226 (Study to Assess Adverse Events and Change in Disease Activity of 24-hour Continuous Subcutaneous Infusion of ABBV-951 in Adult Participants With Advanced...
Fosnetupitant, C31H35F6N4O5P,A medication used in combination with others to prevent chemotherapy associated nausea and vomiting.
Fosphenytoin, C16H15N2O6P,An antiepileptic agent used for the management of generalized convulsive status epilepticus and prevention and treatment of seizures occurring during neurosurgery.
Fospropofol, C13H21O5P,A sedative-­hypnotic agent indicated for monitored anesthesia care (MAC) sedation in adult patients undergoing diagnostic or therapeutic procedures.
Fostamatinib, C23H26FN6O9P,A spleen tyrosine kinase inhibitor used to treat chronic immune thrombocytopenia after attempting one other treatment.
Fostemsavir, C25H26N7O8P,An antiretroviral HIV-1 attachment inhibitor targeted against the gp120 subunit within the HIV-1 gp160 envelope glycoprotein.
Framycetin, C23H46N6O13,"An aminoglycoside antibiotic used in various formulations and combinations with other agents to treat hemorrhoids, eye and ear infections, and to reduce nasal carriage of staphylococcus."
Frovatriptan, C14H17N3O,A 5-HT1B/1D receptor agonist used to treat migraines.
Fructose, C6H12O6,
Fruquintinib, C21H19N3O5,A VEGF receptor inhibitor used to treat metastatic colorectal cancer.
Fulvestrant, C32H47F5O3S,An estrogen receptor antagonist used to treat HR+ breast cancer that may also be HER2-.
Furosemide, C12H11ClN2O5S,"A loop diuretic used to treat hypertension and edema in congestive heart failure, liver cirrhosis, renal disease, and hypertension."
Fursultiamine, C17H26N4O3S2,Compound used for therapy of thiamine deficiency. It has also been suggested for several non-deficiency disorders but has not yet proven useful. Fursultiamine is a vitamin B1 derivative.
Fusafungine, C33H57N3O9,"Fusafungine is an antibiotic from Fusarium lateririum, and is used for the treatment of respiratory infections."
Fusidic acid, C31H48O6,A topical antibacterial agent used to prevent and treat mild to moderate skin infections caused by susceptible bacteria.
Futibatinib, C22H22N6O3,A kinase inhibitor used to treat intrahepatic cholangiocarcinoma in previously treated adults.
Gabapentin, C9H17NO2,"An anticonvulsant medication used in the management of peripheral neuropathic pains, postherpetic neuralgia, and partial-onset seizures."
Gabapentin enacarbil, C16H27NO6,A gabapentin prodrug used to treat Restless Legs Syndrome (RLS) and postherpetic neuralgia (PHN).
Gadobenic acid, C22H28GdN3O11,A gadolinium-based contrast agent (GBCA) used with contrasted magnetic resonance imaging (MRI) to detect and visualize lesions and abnormal vascularity.
